product_id,product_name,category,sub_category,brand,price,discount_price,cost,launch_date,seller_id,stock_quantity
924197,Fashion_Men_924197,Fashion,Men,BrandA,1756.7,1735.56,710.5,2024-07-14 16:38:52.085378408,59689,236
562958,Home_Furniture_562958,Home,Furniture,BrandB,591.05,544.69,455.63,2022-10-14 19:40:15.276003838,65614,694
381632,Electronics_Laptop_381632,Electronics,Laptop,BrandF,569.67,484.61,271.24,2020-03-12 21:01:08.295314074,69758,523
363028,Electronics_Mobile_363028,Electronics,Mobile,BrandE,1734.05,1229.77,952.88,2020-03-21 18:27:00.684579611,64201,873
176588,Electronics_Mobile_176588,Electronics,Mobile,BrandA,149.16,114.08,92.23,2023-12-27 13:45:49.180831194,58333,723
360610,Toys_Kids_360610,Toys,Kids,BrandB,1228.8,1125.71,757.35,2020-11-11 13:14:14.228907585,76727,957
313802,Home_Decor_313802,Home,Decor,BrandA,1694.88,1385.66,875.14,2022-03-30 12:00:00.883800030,64290,418
938521,Electronics_Laptop_938521,Electronics,Laptop,BrandF,1124.57,1065.65,741.43,2022-11-16 22:37:13.200260162,64909,442
328815,Toys_Board Games_328815,Toys,Board Games,BrandB,791.62,693.11,539.03,2021-01-30 21:35:24.718291759,76628,361
674253,Electronics_Accessories_674253,Electronics,Accessories,BrandA,792.38,775.91,390.45,2020-08-02 07:15:38.891880274,64307,183
547239,Fashion_Women_547239,Fashion,Women,BrandF,213.66,177.6,116.09,2021-01-25 03:13:51.988141298,71230,635
492904,Electronics_Accessories_492904,Electronics,Accessories,BrandC,88.54,77.24,44.97,2020-12-18 06:15:58.285260916,65246,877
140937,Electronics_Laptop_140937,Electronics,Laptop,BrandC,1022.18,1003.49,809.46,2022-12-26 22:22:01.529673338,69758,422
512461,Fashion_Men_512461,Fashion,Men,BrandD,808.28,772.61,493.68,2021-05-25 00:09:12.800320387,70459,481
307937,Electronics_Accessories_307937,Electronics,Accessories,BrandC,858.85,788.25,469.03,2024-12-07 16:18:34.093451977,69826,54
187821,Home_Furniture_187821,Home,Furniture,BrandA,824.46,655.19,368.21,2023-09-10 10:59:51.351440430,58929,895
736402,Fashion_Accessories_736402,Fashion,Accessories,BrandE,1416.81,1149.39,703.48,2022-05-13 00:09:31.225514412,53929,559
781209,Fashion_Accessories_781209,Fashion,Accessories,BrandA,451.21,382.52,316.55,2021-08-17 23:29:59.182369232,77568,716
720230,Electronics_Accessories_720230,Electronics,Accessories,BrandF,1330.24,1096.98,679.2,2020-10-15 10:10:46.442728043,65980,83
912391,Fashion_Shoes_912391,Fashion,Shoes,BrandE,1564.98,1452.2,1189.71,2023-02-25 06:30:49.353451729,74399,828
118675,Home_Decor_118675,Home,Decor,BrandA,623.09,463.03,481.89,2024-05-16 19:02:08.117226362,57336,596
302361,Electronics_Laptop_302361,Electronics,Laptop,BrandC,394.41,342.32,255.4,2022-03-11 08:51:22.107987881,56509,34
853594,Electronics_Laptop_853594,Electronics,Laptop,BrandA,307.66,277.49,214.33,2021-07-19 08:49:26.706474781,65064,498
522606,Sports_Outdoor_522606,Sports,Outdoor,BrandD,318.72,277.89,130.55,2024-02-06 15:32:56.161390066,62000,789
690831,Electronics_Accessories_690831,Electronics,Accessories,BrandB,22.11,17.39,14.82,2021-05-25 03:46:26.271541834,61124,859
640867,Toys_Board Games_640867,Toys,Board Games,BrandB,194.82,180.36,117.98,2022-05-03 09:13:54.581743956,69271,907
301108,Sports_Outdoor_301108,Sports,Outdoor,BrandF,167.26,119.63,129.14,2024-04-29 11:08:54.270761013,54418,705
165878,Fashion_Men_165878,Fashion,Men,BrandE,1325.93,1163.72,982.26,2022-06-09 22:35:25.213949203,74738,788
405144,Electronics_Laptop_405144,Electronics,Laptop,BrandE,620.3,449.87,367.32,2021-01-21 05:19:28.645763874,63737,880
461301,Toys_Kids_461301,Toys,Kids,BrandB,249.13,202.2,167.12,2020-01-28 08:46:43.813160658,72058,392
490754,Sports_Outdoor_490754,Sports,Outdoor,BrandC,186.0,159.99,82.73,2021-03-02 19:08:35.891928673,70306,883
908857,Beauty_Skincare_908857,Beauty,Skincare,BrandF,1992.51,1772.42,1298.06,2020-10-23 20:59:25.638549328,54301,717
426751,Electronics_Mobile_426751,Electronics,Mobile,BrandB,116.17,83.86,61.88,2023-12-21 07:33:24.068307638,70141,122
397949,Electronics_Mobile_397949,Electronics,Mobile,BrandC,1870.59,1686.82,1398.69,2022-07-12 10:19:59.271049500,57058,393
225295,Home_Furniture_225295,Home,Furniture,BrandA,170.74,129.55,95.29,2022-08-08 05:34:18.663119793,51489,231
664709,Home_Decor_664709,Home,Decor,BrandF,558.4,475.19,370.45,2023-02-08 03:59:08.714849234,53184,722
544683,Fashion_Women_544683,Fashion,Women,BrandF,1428.0,1220.06,1000.35,2020-09-13 13:59:33.637105942,52831,964
102475,Fashion_Accessories_102475,Fashion,Accessories,BrandF,76.68,68.5,40.22,2021-02-01 12:16:49.368469000,52204,227
873824,Electronics_Laptop_873824,Electronics,Laptop,BrandC,492.18,444.3,199.8,2022-11-16 15:48:52.426028728,66425,608
225284,Electronics_Laptop_225284,Electronics,Laptop,BrandF,700.04,672.86,298.76,2020-09-02 00:47:09.769342422,64290,967
733216,Beauty_Makeup_733216,Beauty,Makeup,BrandF,1289.64,921.15,948.79,2022-05-15 20:04:44.220006943,79736,481
823236,Home_Furniture_823236,Home,Furniture,BrandE,86.99,61.83,60.43,2023-06-05 21:16:30.577751398,66150,32
781546,Fashion_Shoes_781546,Fashion,Shoes,BrandB,1131.73,1124.48,779.11,2023-03-22 02:49:35.074073792,56565,16
142237,Electronics_Audio_142237,Electronics,Audio,BrandA,225.92,202.09,163.84,2022-12-18 19:53:46.476202250,71103,889
435649,Toys_Kids_435649,Toys,Kids,BrandA,1244.42,1236.29,833.38,2021-07-08 20:00:16.042279720,74745,57
647640,Fashion_Women_647640,Fashion,Women,BrandF,1137.56,905.52,844.29,2020-05-10 01:17:04.310867786,64201,987
750415,Toys_Kids_750415,Toys,Kids,BrandD,1199.86,868.57,575.34,2024-09-26 04:21:02.565924883,62496,44
273148,Electronics_Audio_273148,Electronics,Audio,BrandE,1548.94,1200.31,1155.8,2023-12-05 08:20:20.613358498,57272,706
434982,Electronics_Mobile_434982,Electronics,Mobile,BrandF,99.3,78.55,48.81,2021-12-25 09:42:09.803876877,75558,760
642667,Electronics_Mobile_642667,Electronics,Mobile,BrandF,219.86,186.95,156.61,2020-03-12 16:45:57.981628180,53622,480
346901,Electronics_Accessories_346901,Electronics,Accessories,BrandF,1906.44,1350.0,975.42,2021-07-24 17:26:06.863753319,73002,884
340644,Electronics_Mobile_340644,Electronics,Mobile,BrandC,1126.71,978.94,881.53,2023-08-12 08:33:42.199333191,50021,815
332361,Electronics_Laptop_332361,Electronics,Laptop,BrandD,1253.67,926.77,504.42,2021-10-08 14:30:14.433819294,77126,914
191947,Home_Decor_191947,Home,Decor,BrandF,36.68,33.45,21.56,2024-06-22 02:39:09.277718306,65908,593
374452,Fashion_Women_374452,Fashion,Women,BrandE,1222.24,1169.47,724.1,2022-07-31 11:51:10.171596527,78683,339
976203,Electronics_Mobile_976203,Electronics,Mobile,BrandF,653.5,544.19,490.31,2022-07-25 03:32:11.115794182,74522,173
911575,Home_Decor_911575,Home,Decor,BrandE,1903.55,1824.27,1100.61,2021-09-07 08:22:33.398592710,63615,166
120373,Toys_Kids_120373,Toys,Kids,BrandB,895.74,730.81,632.84,2020-05-18 20:58:58.828725576,73251,843
627694,Fashion_Women_627694,Fashion,Women,BrandE,1247.3,991.88,559.19,2024-11-26 15:31:58.222958326,74932,558
285598,Fashion_Men_285598,Fashion,Men,BrandE,1406.55,1130.12,1094.41,2020-05-01 17:54:02.025504112,72484,171
845842,Fashion_Accessories_845842,Fashion,Accessories,BrandA,975.79,755.47,623.85,2020-01-24 02:45:52.008739471,71493,546
